task_name	reason	missing_sources
aes-cbc-png-stego-decrypt	lfs_pointer_resource	environment/stego.png:128
bash-crypto-vault-script	lfs_pointer_resource	environment/testfile.bin:129
cdn-docker-image-gallery	lfs_pointer_resource	environment/test_data/sample1.jpg:128,environment/test_data/sample2.jpg:128,environment/test_image.jpg:128
cdn-failover-system	lfs_pointer_resource	environment/static/logo.png:128
cpu-mnist-classification-pipeline	lfs_pointer_resource	environment/test_data/digit_0.png:128,environment/test_data/digit_1.png:128,environment/test_data/digit_3.png:128,environment/test_data/digit_5.png:128,environment/test_image.png:128
cpu-yolov5-detection-pipeline	lfs_pointer_resource	environment/test_data/sample1.png:128,environment/test_data/sample2.png:128,environment/test_image1.png:128,environment/test_image2.png:128
crack-encrypted-zip-password	lfs_pointer_resource	environment/secret_message.zip:128
crack-zip-brute-force	lfs_pointer_resource	environment/secret.zip:128
crack-zip-decrypt-message	lfs_pointer_resource	environment/secret_data.zip:129
crack-zip-known-plaintext	lfs_pointer_resource	environment/backup.zip:129
crack-zip-password-recovery__sample_0244_378c350c	lfs_pointer_resource	environment/secret_archive.zip:128
decrypt-aes-file-recovery	lfs_pointer_resource	environment/aes_key.bin:127
decrypt-forensic-database-dump	lfs_pointer_resource	environment/fortress.bin:128
encrypt-steg-file-vault	lfs_pointer_resource	environment/carrier.jpg:131
energy-consumption-forecast	lfs_pointer_resource	environment/data/utility_data.csv:133
extract-image-color-palette	lfs_pointer_resource	environment/autumn_forest.jpg:130,environment/city_night.jpg:129,environment/landscape_nature.jpg:129,environment/sunset_beach.jpg:129
extract-png-lsb-steganography	lfs_pointer_resource	environment/hidden.png:128
file-type-analyzer-cli	lfs_pointer_resource	environment/testfiles/archive.zip:128,environment/testfiles/image.jpg:127
find-hidden-ssh-keys	lfs_pointer_resource	environment/filesystem/var/backups/old.tar.gz:128
finetune-gpt2-legal-corpus	lfs_pointer_resource	environment/legal.txt:133
fix-cmake-arm-crosscompile	missing_copy_source	ci-build.log
fix-git-lfs-upload	invalid_lfs_pointer_asset	environment/character.fbx,environment/environment.png,environment/background.wav are 132-byte Git LFS pointer payloads; task tests require real large binary assets.
gpg-decrypt-key-analysis	lfs_pointer_resource	environment/backup_keys.tar.gz:129
hls-streaming-server	lfs_pointer_resource	environment/input.mp4:128
hmac-sha256-verify-tool	lfs_pointer_resource	environment/testdata.bin:126
image-captioning-flickr8k	lfs_pointer_resource	environment/flickr8k/images/1000268201_693b08cb0e.jpg:128,environment/flickr8k/images/1001773457_577c3a7d70.jpg:128,environment/flickr8k/images/1002674143_1b742ab4b8.jpg:128,environment/flickr8k/images/1003163366_44323f5815.jpg:128,environment/flickr8k/images/1007129816_e794419615.jpg:128,environment/flickr8k/images/1009434119_febe49276a.jpg:128
k8s-control-plane-diagnosis	missing_copy_source	apiserver.log,etcd.log,kubelet.log,containerd.log,dmesg.log
lsb-steganography-decoder	lfs_pointer_resource	environment/secret_image.png:130
opencv-hog-human-detection	lfs_pointer_resource	environment/images/frame_001.png:129,environment/images/frame_002.png:129,environment/images/frame_003.png:129,environment/test_data/frame_003.png:129
profile-ml-model-performance	lfs_pointer_resource	environment/model.pkl:132,environment/transactions.csv:133
recover-corrupted-png-flag	lfs_pointer_resource	environment/corrupted.png:129
reverse-engineer-hash-binary	lfs_pointer_resource	environment/secure_hash:131
reverse-enigma-cipher	lfs_pointer_resource	environment/enigma:131
rfm-clv-analysis-pipeline	lfs_pointer_resource	environment/trendcart_data.zip:129
rsa-key-reconstruct-decrypt	lfs_pointer_resource	environment/ciphertext.bin:128
sample_0541_789cacea	lfs_pointer_resource	environment/sample_image.jpg:128
shell-backup-rotation-system	missing_copy_source	test_data/sample_logs/
xor-cipher-key-recovery	lfs_pointer_resource	environment/vault.bin:127
