order_id,product_name,category,quantity,unit_price,order_date
ORD001,Wireless Mouse,Electronics,2,25.99,2024-01-15
ORD002,USB Keyboard,Electronics,1,45.50,2024-01-18
ORD003,Notebook A5,Stationery,10,3.25,2024-01-20
ORD004,Wireless Mouse,Electronics,3,25.99,2024-02-01
ORD005,Desk Lamp,Home & Office,1,34.99,2024-02-05
ORD006,Ballpoint Pen,Stationery,50,1.10,2024-02-10
ORD007,USB Keyboard,Electronics,2,45.50,2024-02-14
ORD008,Notebook A5,Stationery,5,3.25,2024-02-20
ORD009,Monitor Stand,Home & Office,1,89.99,2024-03-01
ORD010,Wireless Mouse,Electronics,4,25.99,2024-03-05
ORD011,Desk Lamp,Home & Office,2,34.99,2024-03-10
ORD012,Ballpoint Pen,Stationery,100,1.10,2024-03-15
ORD013,Webcam HD,Electronics,1,59.99,2024-03-20
ORD014,Notebook A5,Stationery,8,3.25,2024-04-02
ORD015,USB Keyboard,Electronics,1,45.50,2024-04-10
ORD016,Monitor Stand,Home & Office,2,89.99,2024-04-15
ORD017,Wireless Mouse,Electronics,1,25.99,2024-04-20
ORD018,Desk Lamp,Home & Office,3,34.99,2024-05-01
ORD019,Webcam HD,Electronics,2,59.99,2024-05-10
ORD020,Ballpoint Pen,Stationery,30,1.10,2024-05-15
ORD021,USB Keyboard,Electronics,1,45.50,2024-05-22
ORD022,Notebook A5,Stationery,12,3.25,2024-06-01
ORD023,Monitor Stand,Home & Office,1,89.99,2024-06-10
ORD024,Wireless Mouse,Electronics,2,25.99,2024-06-15
ORD025,Desk Lamp,Home & Office,1,34.99,2024-06-20
ORD026,,Electronics,3,19.99,2024-01-25
ORD027,Wireless Mouse,Electronics,,25.99,2024-02-12
ORD028,USB Keyboard,Electronics,1,,2024-03-08
ORD029,,Stationery,5,2.50,2024-04-05
ORD030,Desk Lamp,Home & Office,2,34.99,
ORD031,Notebook A5,Stationery,4,,2024-05-18
ORD032,,Home & Office,1,15.00,2024-06-05
ORD004,Wireless Mouse,Electronics,3,25.99,2024-02-01
ORD012,Ballpoint Pen,Stationery,100,1.10,2024-03-15
ORD018,Desk Lamp,Home & Office,3,34.99,2024-05-01
ORD033,Webcam HD,Electronics,-2,59.99,2024-01-30
ORD034,Monitor Stand,Home & Office,-1,89.99,2024-03-25
ORD035,Ballpoint Pen,Stationery,-5,1.10,2024-05-28
ORD036,USB Keyboard,Electronics,0,45.50,2024-06-12
ORD037,Wireless Mouse,Electronics,2,25.99,2024/03/15
ORD038,Desk Lamp,Home & Office,1,34.99,March 10 2024
ORD039,Notebook A5,Stationery,3,3.25,01-15-2024
ORD040,Webcam HD,Electronics,1,59.99,not-a-date
ORD041,Monitor Stand,Home & Office,2,89.99,2024-13-01
ORD042,Wireless Mouse,Electronics,1,-5.00,2024-04-25
ORD043,USB Keyboard,Electronics,3,45.50,2024-07-01
ORD044,Notebook A5,Stationery,6,3.25,2024-07-10
ORD045,Desk Lamp,Home & Office,2,34.99,2024-07-15
ORD046,Webcam HD,Electronics,1,59.99,2024-07-20
ORD047,Ballpoint Pen,Stationery,25,1.10,2024-07-25
