reviewText,overall
"This product is absolutely amazing! Best purchase I have ever made. Highly recommend to everyone.",5
"Great quality and fast shipping. Very happy with this buy.",4
"Love it! Works perfectly and looks great. Will buy again.",5
"Excellent product, exceeded my expectations in every way.",5
"Really good value for the price. Solid build quality.",4
"Pretty decent product overall. Does what it says.",4
"Works as expected. Nothing special but gets the job done.",3
"It is okay. Not great not terrible. Average product.",3
"Mediocre quality. I expected more for the price honestly.",3
"Just average. Does the basic job but nothing impressive.",3
"Not what I expected. The quality is quite poor sadly.",2
"Terrible product. Broke after one week of normal use.",1
"Very disappointed. Does not work as advertised at all.",1
"Waste of money. Returning this immediately. Do not buy.",1
"Poor quality materials. Feels cheap and flimsy overall.",2
"Absolutely love this! Perfect for my needs every day.",5
"Good product with minor flaws. Would still recommend it.",4
"Satisfactory purchase. Met my basic expectations I guess.",3
"Not worth the price. Very cheaply made product overall.",2
"Fantastic! One of the best products I have ever owned.",5
"Decent but could be better. Room for improvement here.",3
"Horrible experience. Customer service was unhelpful as well.",1
"Works well for the price point. Happy with purchase.",4
"Average at best. There are better options available now.",3
"Complete garbage. Stopped working after just three days.",1
"Super happy with this purchase! Exceeded all my expectations.",5
"It is fine. Nothing to write home about honestly speaking.",3
"Disappointed with the quality. Expected much better than this.",2
"Amazing product! Will definitely be buying more of these.",5
"Okay product. Does the minimum. Not impressed but functional.",3
"Worst purchase ever. Total waste of my hard earned money.",1
"Really enjoy using this every day. Great value overall.",4
"Meh. It is what it is. Could be better honestly.",3
"Broke within a month. Very poor build quality overall.",1
"Impressive quality for the price. Pleasantly surprised by it.",4
"Not bad but not great either. Just an okay product.",3
"Absolutely terrible. I want my money back right now.",1
"Perfect! Exactly what I needed. Five stars all around.",5
"Could be improved. Has some issues but works mostly fine.",3
"Very poor quality. Regret buying this product very much.",2
