"id","text","language","label"
"1","El taller de fotografía me enseñó mucho sobre composición.","es","0"
"2","","de","0"
"3","Correr cinco kilómetros cada mañana ha mejorado mi salud significativamente.","es","0"
"4","They should all be deported, every single one of them.","en","1"
"5","Sie sind minderwertig und werden nie so gut sein wie wir.","de","1"
"6","La foire scientifique de l'école a présenté des projets d'élèves impressionnants.","fr","0"
"7","Those people make me physically ill just looking at them.","en","1"
"8","Jeden Morgen fünf Kilometer zu laufen hat meine Gesundheit verbessert.","de","0"
"9","El documental sobre la vida oceánica fue increíblemente informativo.","es","0"
"10","Das Gemeinschaftsgartenprojekt hat unsere Nachbarn näher zusammengebracht.","de","0"
"11","The podcast about history is both entertaining and educational.","en","0"
"12","Geht zurück, wo ihr herkommt, ihr gehört nicht hierher.","de","1"
"13","Sie verseuchen alles, was sie berühren, haltet sie fern.","de","1"
"14","Mein Kollege hat ein sehr hilfreiches Tutorial über maschinelles Lernen geteilt.","de","0"
"15","Cada uno de ellos es un mentiroso y un tramposo.","es","1"
"16","Ces étrangers détruisent notre culture et nos traditions.","fr","1"
"17","Der Fotografie-Workshop hat mir viel über Komposition beigebracht.","de","0"
"18","Ich habe gestern Abend ein neues Nudelrezept ausprobiert und es war köstlich.","de","0"
"19","Odio a esa gente, están arruinando todo para el resto de nosotros.","es","1"
"20","J'adore l'ambiance de Paris quand il neige en hiver.","fr","0"
"21","Ils sont un fléau pour la société et doivent être éliminés.","fr","1"
"22","Nuestro país era mejor antes de que esa gente empezara a venir aquí.","es","1"
"23","Je refuse de m'associer avec ces gens dégoûtants.","fr","1"
"24","Reading bedtime stories to my children is my favorite part of the day.","en","0"
"25","Descubrí un hermoso sendero de senderismo cerca del lago el fin de semana.","es","0"
"26","Mi colega compartió un tutorial muy útil sobre aprendizaje automático.","es","0"
"27","Je viens de planter des tomates et des herbes dans mon jardin.","fr","0"
"28","Der lokale Bauernmarkt hat das frischeste Gemüse in der Stadt.","de","0"
"29","Ils sont un fléau pour la société et doivent être éliminés.","fr","1"
"30","Ich habe angefangen Französisch zu lernen und es macht viel Spaß.","de","0"
"31","I love watching soccer matches on Sunday afternoons with my family.","en","0"
"32","Nuestro viaje por los parques nacionales fue una aventura inolvidable.","es","0"
"33","The museum exhibit on ancient civilizations was fascinating.","en","0"
"34","Le bénévolat au refuge pour animaux est une expérience très significative.","fr","0"
"35","My grandmother makes the best apple pie every Thanksgiving.","en","0"
"36","The team meeting today was productive and we made great progress.","en","0"
"37","The school science fair showcased some truly impressive student projects.","en","0"
"38","Die Wissenschaftsmesse der Schule zeigte beeindruckende Schülerprojekte.","de","0"
"39","La nueva cafetería del centro sirve un excelente café con leche.","es","0"
"40","Gente como ellos es la razón por la que este país se está desmoronando.","es","1"
