id,text
1,Climate change is the biggest threat to our planet and we must act now
2,Love seeing so many people joining the #ClimateStrike movement today!
3,Another day another fake climate report from the media @CNN
4,The new solar panel installations in our city are amazing https://t.co/abc123
5,Rising sea levels will destroy coastal cities within decades
6,Great news! Renewable energy investments hit record highs this year
7,I dont believe in global warming its all a hoax #ClimateHoax
8,Planting trees is one of the simplest ways to fight climate change
9,The government is doing nothing about carbon emissions @EPA
10,So proud of the youth leading the climate movement #FridaysForFuture
11,Extreme weather events are becoming more frequent and devastating
12,Electric vehicles are the future of transportation #EV #GreenEnergy
13,Why should we care about climate change when the economy is struggling
14,The Arctic ice is melting at an alarming rate according to new research
15,Wind farms are ugly and destroy natural landscapes @GreenPeace
16,Our community just went 100% renewable energy! What an achievement
17,Scientists have been wrong about climate predictions before
18,Beach cleanup today was incredible so much plastic waste removed
19,Carbon tax will only hurt working families and small businesses
20,The coral reefs are dying and nobody seems to care about marine life
