tweet_id,date,text
1,2020-03-15,"I just got tested for COVID-19 and thankfully I'm negative. Stay safe everyone! #COVID19 #StayHome"
2,2020-03-16,"This pandemic is terrifying. The news keeps showing scary numbers. I hope it ends soon. #CoronaVirus"
3,2020-03-17,"Just finished my remote work setup. Working from home isn't so bad after all! #WFH #COVID19"
4,2020-03-18,"Why are people hoarding toilet paper? This is insane. Please think about others! #PanicBuying"
5,2020-03-19,"Grateful for all the healthcare workers on the front lines. You're true heroes! #HealthcareHeroes"
6,2020-03-20,"COVID-19 is just a flu, people are overreacting. The media is causing unnecessary panic. #FakeNews"
7,2020-03-21,"My small business had to close today. So worried about the future. #SmallBusiness #EconomicImpact"
8,2020-03-22,"Virtual happy hour with friends tonight! We may be isolated but we're still connected. #SocialDistancing"
9,2020-03-23,"The president announced new guidelines today. Finally some leadership during this crisis. #Leadership"
10,2020-03-24,"Feeling so anxious and alone. This whole situation is overwhelming. #MentalHealth #Anxiety"
11,2020-03-25,"Scientists are working hard on a vaccine. Have faith in science! #ScienceHope"
12,2020-03-26,"Some people still refuse to take this seriously. It's infuriating! #Irresponsible"
13,2020-03-27,"Donated to the local food bank today. Let's help those in need. #CommunitySupport"
14,2020-03-28,"Online classes are a mess. I miss my university so much! #OnlineLearning"
15,2020-03-29,"The curve is starting to flatten in our area. Stay home and keep it up! #FlattenTheCurve"
16,2020-03-30,"Lost my job today due to COVID-19. This is the worst day of my life. #Unemployment"
17,2020-03-31,"The internet is full of misinformation. Please verify before sharing! #FactCheck"
18,2020-04-01,"April Fools but COVID-19 is no joke. Stay safe! #COVID19"
19,2020-04-02,"Telemedicine is a game changer. So convenient to see a doctor from home. #Telehealth"
20,2020-04-03,"Protests against lockdowns are selfish. Think about the vulnerable populations! #StayHome"
