loan_amount,annual_income,debt_to_income_ratio,credit_score,employment_status,loan_purpose,default
15000,50000,0.35,680,employed,debt_consolidation,0
25000,75000,0.28,720,employed,home_improvement,0
8000,35000,0.45,620,employed,car,1
50000,120000,0.22,780,employed,business,0
12000,42000,0.38,650,self_employed,medical,0
30000,65000,0.42,590,employed,credit_card,1
18000,55000,0.31,700,employed,vacation,0
22000,48000,0.48,610,unemployed,debt_consolidation,1
40000,95000,0.25,750,employed,home_improvement,0
10000,38000,0.40,640,employed,other,0
35000,80000,0.30,710,self_employed,business,0
14000,45000,0.36,670,employed,car,0
28000,62000,0.44,600,employed,debt_consolidation,1
45000,110000,0.20,790,employed,home_improvement,0
9000,32000,0.50,580,unemployed,medical,1
20000,58000,0.33,690,employed,credit_card,0
16000,47000,0.37,660,employed,vacation,0
32000,72000,0.29,730,employed,business,0
11000,40000,0.41,630,self_employed,car,0
26000,60000,0.34,680,employed,other,0
48000,115000,0.21,770,employed,home_improvement,0
13000,43000,0.39,655,employed,debt_consolidation,0
29000,68000,0.43,605,employed,credit_card,1
38000,88000,0.27,740,employed,business,0
7500,30000,0.47,595,unemployed,medical,1
19000,52000,0.32,695,employed,car,0
24000,64000,0.35,685,self_employed,vacation,0
42000,100000,0.23,760,employed,home_improvement,0
15500,46000,0.38,645,employed,debt_consolidation,0
31000,70000,0.31,715,employed,other,0
17000,49000,0.36,665,employed,car,0
27000,63000,0.40,625,employed,credit_card,1
46000,108000,0.22,775,employed,business,0
12500,41000,0.42,635,unemployed,medical,1
21000,56000,0.34,692,employed,vacation,0
33000,76000,0.28,725,employed,home_improvement,0
14500,44000,0.37,652,self_employed,debt_consolidation,0
36000,82000,0.30,705,employed,business,0
9500,36000,0.46,615,employed,car,1
23000,59000,0.33,688,employed,other,0
