review,sentiment,split
I have never been so bored watching a movie in my entire life.,negative,test
This movie proves that great cinema is alive and well today.,positive,train
This movie was a complete waste of time and I regret watching it.,negative,test
The acting was superb and the storyline was captivating from start to finish.,positive,train
I found myself completely invested in the characters and their journey.,positive,train
The acting was wooden and the dialogue was painfully bad throughout.,negative,test
A terrible film with awful acting and a nonsensical plot throughout.,negative,train
The story was incoherent and the direction was all over the place.,negative,train
A powerful and moving film that left a lasting impression on me.,positive,test
A soulless and mechanical film that lacks any genuine emotion.,negative,train
An incredible movie with stunning visuals and a heartwarming story.,positive,test
A tiresome and repetitive film that offers nothing of value.,negative,test
An absolute disaster of a movie that should never have been made.,negative,train
The direction was lazy and the script was full of cliches and holes.,negative,train
A disappointing mess that fails to deliver on any of its promises.,negative,train
I cannot believe how bad this movie turned out to be overall.,negative,train
A poorly made film with no redeeming qualities whatsoever.,negative,test
An absolute pleasure to watch from the very first scene to the last.,positive,test
The plot twists were clever and the ending was deeply satisfying.,positive,train
A smart and witty film that never talks down to its audience.,positive,train
Wonderful performances from the entire cast made this film shine.,positive,train
A forgettable and mediocre film that brings nothing new to the table.,negative,test
I was deeply disappointed by this film after all the hype around it.,negative,test
This film is a triumph of storytelling and visual artistry.,positive,train
"One of the best films I have ever seen, truly a remarkable achievement.",positive,train
The special effects were breathtaking and the story was compelling.,positive,train
A frustrating movie that wastes a talented cast on a terrible script.,negative,train
The chemistry between the leads was electric and the dialogue was sharp.,positive,test
A refreshing and original movie that stands out from the crowd.,positive,train
An uninspired and lazy effort that feels like a cash grab.,negative,test
An aggressively mediocre film that insults the intelligence of viewers.,negative,test
An incredible movie with stunning visuals and a heartwarming story.,positive,train
An inspiring tale that reminds us of the power of the human spirit.,positive,train
A rare film that manages to be both entertaining and meaningful.,positive,train
I was blown away by the performances and the beautiful cinematography.,positive,train
The acting was so bad it was almost comical in the worst way.,negative,train
"One of the best films I have ever seen, truly a remarkable achievement.",positive,train
This is a gem of a movie that restores your faith in good filmmaking.,positive,train
The plot twists were clever and the ending was deeply satisfying.,positive,test
A tiresome and repetitive film that offers nothing of value.,negative,train
This movie was a complete waste of time and I regret watching it.,negative,train
The story was incoherent and the direction was all over the place.,negative,test
"I could not wait for this movie to end, it was that unbearable.",negative,train
"One of the best films I have ever seen, truly a remarkable achievement.",positive,test
A bland and uninspiring film that left me feeling empty inside.,negative,train
A pointless and meandering film with no clear direction or purpose.,negative,train
I was impressed by the quality of acting and the strength of the script.,positive,test
