text,label
"Terrible product, broke after one day of use. Really poor order.",0
"Overpriced garbage, stay away from this listing. The service is awful.",0
Great quality and fast shipping. Very satisfied. Really amazing item.,1
"Regret this purchase entirely, total disappointment.",0
"Completely useless, does not perform as claimed. Really useless experience.",0
,1
Really impressed with the build quality. Really fantastic purchase.,1
"Fantastic experience, highly recommend this. The experience is wonderful.",1
Smooth transaction and the product is flawless. Superb overall.,1
"Overpriced garbage, stay away from this listing. The service is frustrating.",0
Exceeded my expectations. Would buy again.,1
Wonderful product that does exactly what it should. The item is great.,1
"Fell apart on first use, zero durability. Really poor item.",0
"Stopped working after just two uses, terrible. Poor overall.",0
"Extremely disappointed, nothing like the pictures shown. Bad overall.",0
Defective item and no response from the seller. Really horrible service.,0
"Do not buy this, it is a complete scam.",0
This is the worst product I have ever bought. Really bad product.,0
"Misleading description, the actual product is terrible. Bad overall.",0
"Worst purchase ever, returning immediately for refund. Really defective delivery.",0
"Top notch product, arrived quickly and intact. Brilliant overall.",1
Cheaply made and fell apart within a week. Useless overall.,0
Highly functional and looks great in my home. Delightful overall.,1
Arrived damaged and customer service was unhelpful. The quality is useless.,0
Cheap knockoff that does not work at all. Really awful purchase.,0
Impressive performance and easy to set up.,1
"This exceeded all my expectations, truly great. The service is fantastic.",1
This is the worst product I have ever bought. Useless overall.,0
"Horrible experience from start to finish, avoid.",0
"Overpriced garbage, stay away from this listing. Really poor service.",0
Cheap knockoff that does not work at all.,0
Arrived damaged and customer service was unhelpful.,0
Defective item and no response from the seller. The quality is bad.,0
"Absolutely dreadful, I cannot believe I paid for this. Really bad package.",0
Cheaply made and fell apart within a week. The item is defective.,0
,1
This is the worst product I have ever bought. Really frustrating service.,0
"This exceeded all my expectations, truly great. Really delightful experience.",1
"Completely useless, does not perform as claimed. Poor overall.",0
Highly functional and looks great in my home. The quality is perfect.,1
Cheaply made and fell apart within a week. The delivery is awful.,0
Very low quality for such a high price tag. The product is dreadful.,0
Cheaply made and fell apart within a week. Awful overall.,0
"Regret this purchase entirely, total disappointment.",0
"Unusable product, had to throw it away.",0
"Very happy with this purchase, five stars! Really brilliant experience.",1
"Poor quality materials, feels very cheap overall.",0
"Perfect gift idea, the recipient was thrilled. The item is amazing.",1
"Delightful product, shipping was also very fast. Really superb item.",1
"Worst purchase ever, returning immediately for refund. Really useless quality.",0
"Works perfectly, exactly as described. Really fantastic quality.",1
"Do not buy this, it is a complete scam. The item is useless.",0
"Would not recommend, complete waste of money.",0
High quality materials and beautiful design. The experience is great.,1
"Stopped working after just two uses, terrible. Terrible overall.",0
"Superb quality, will definitely order more.",1
"Worst purchase ever, returning immediately for refund. The order is poor.",0
"Overpriced garbage, stay away from this listing. The product is bad.",0
"This exceeded all my expectations, truly great. The purchase is perfect.",1
Cheap knockoff that does not work at all.,0
This is the worst product I have ever bought. The experience is dreadful.,0
Very low quality for such a high price tag.,0
